,Drug_1,Drug_2,Correlation
3911,GSK-1838705A,Lenalidomide,-1326.0
3912,GSK-1838705A,Lenvatinib,-1228.0
3913,GSK-1838705A,Lestaurtinib (CEP-701),-1095.0
3914,GSK-1838705A,Linifanib (ABT-869),-615.0
3915,GSK-1838705A,Lovastatin,-645.0
3916,GSK-1838705A,LY-333531,-1712.0
3917,GSK-1838705A,Masitinib (AB-1010),-1170.0
3918,GSK-1838705A,MGCD-265,-963.0
3919,GSK-1838705A,Midostaurin,-1579.0
3920,GSK-1838705A,MK-2206,-298.0
3921,GSK-1838705A,MLN120B,-1041.0
3922,GSK-1838705A,MLN8054,-1247.0
3923,GSK-1838705A,Motesanib (AMG-706),-412.0
3924,GSK-1838705A,Neratinib (HKI-272),-2122.0
3925,GSK-1838705A,NF-kB Activation Inhibitor,-1817.0
3926,GSK-1838705A,Nilotinib,-471.0
3927,GSK-1838705A,Nutlin 3a,-1750.0
3928,GSK-1838705A,NVP-ADW742,1281.0
3929,GSK-1838705A,NVP-TAE684,2030.0
3930,GSK-1838705A,Palbociclib,-1177.0
3931,GSK-1838705A,Panobinostat,-426.0
3932,GSK-1838705A,Pazopanib (GW786034),-1436.0
3933,GSK-1838705A,PD173955,-568.0
3934,GSK-1838705A,Pelitinib (EKB-569),-1791.0
3935,GSK-1838705A,PHA-665752,1858.0
3936,GSK-1838705A,PHT-427,-714.0
3937,GSK-1838705A,PI-103,-905.0
3938,GSK-1838705A,PLX-4720,-886.0
3939,GSK-1838705A,Ponatinib (AP24534),1326.0
3940,GSK-1838705A,PP242,-1112.0
3941,GSK-1838705A,PRT062607,-1056.0
3942,GSK-1838705A,Quizartinib (AC220),-877.0
3943,GSK-1838705A,RAF265 (CHIR-265),-2126.0
3944,GSK-1838705A,Rapamycin,-584.0
3945,GSK-1838705A,Regorafenib (BAY 73-4506),-1510.0
3946,GSK-1838705A,Roscovitine (CYC-202),-1731.0
3947,GSK-1838705A,Ruxolitinib (INCB018424),-404.0
3948,GSK-1838705A,S31-201,-906.0
3949,GSK-1838705A,Saracatinib (AZD0530),-1654.0
3950,GSK-1838705A,SB-431542,-688.0
3951,GSK-1838705A,Selinexor,-861.0
3952,GSK-1838705A,Selumetinib (AZD6244),-287.0
3953,GSK-1838705A,SGX-523,1510.0
3954,GSK-1838705A,SNS-032 (BMS-387032),-291.0
3955,GSK-1838705A,Sorafenib,-1184.0
3956,GSK-1838705A,SR9011,-1465.0
3957,GSK-1838705A,Staurosporine,-178.0
3958,GSK-1838705A,STO609,-1270.0
3959,GSK-1838705A,SU11274,-1782.0
3960,GSK-1838705A,Sunitinib,-899.0
3961,GSK-1838705A,Tandutinib (MLN518),-369.0
3962,GSK-1838705A,TG100-115,-891.0
3963,GSK-1838705A,TG101348,-228.0
3964,GSK-1838705A,Tivozanib (AV-951),-1183.0
3965,GSK-1838705A,Tofacitinib (CP-690550),-451.0
3966,GSK-1838705A,Tozasertib (VX-680),-782.0
3967,GSK-1838705A,Trametinib (GSK1120212),-401.0
3968,GSK-1838705A,Vandetanib (ZD6474),-2059.0
3969,GSK-1838705A,Vargetef,-1823.0
3970,GSK-1838705A,Vatalanib (PTK787),-1712.0
3971,GSK-1838705A,Vemurafenib (PLX-4032),-1845.0
3972,GSK-1838705A,Venetoclax,-1526.0
3973,GSK-1838705A,Vismodegib (GDC-0449),-1004.0
3974,GSK-1838705A,Volasertib (BI-6727),-1236.0
3975,GSK-1838705A,VX-745,-792.0
3976,GSK-1838705A,XAV-939,-659.0
3977,GSK-1838705A,YM-155,-856.0
3978,GSK-1904529A,GSK690693,-1155.0
3979,GSK-1904529A,GW-2580,-1316.0
3980,GSK-1904529A,Ibrutinib (PCI-32765),-1327.0
3981,GSK-1904529A,Idelalisib,-968.0
3982,GSK-1904529A,Imatinib,-1660.0
3983,GSK-1904529A,INK-128,-577.0
3984,GSK-1904529A,JAK Inhibitor I,-1028.0
3985,GSK-1904529A,JNJ-28312141,-1113.0
3986,GSK-1904529A,JNJ-38877605,-1486.0
3987,GSK-1904529A,JNJ-7706621,-814.0
3988,GSK-1904529A,JQ1,-485.0
3989,GSK-1904529A,KI20227,-1293.0
3990,GSK-1904529A,KU-55933,-566.0
3991,GSK-1904529A,KW-2449,-1266.0
3992,GSK-1904529A,Lapatinib,-1891.0
3993,GSK-1904529A,Lenalidomide,-970.0
3994,GSK-1904529A,Lenvatinib,-884.0
3995,GSK-1904529A,Lestaurtinib (CEP-701),-1149.0
3996,GSK-1904529A,Linifanib (ABT-869),-1065.0
3997,GSK-1904529A,Lovastatin,-1147.0
3998,GSK-1904529A,LY-333531,-1755.0
3999,GSK-1904529A,Masitinib (AB-1010),-1126.0
4000,GSK-1904529A,MGCD-265,-1407.0
4001,GSK-1904529A,Midostaurin,-1381.0
4002,GSK-1904529A,MK-2206,-367.0
4003,GSK-1904529A,MLN120B,-1827.0
4004,GSK-1904529A,MLN8054,-269.0
4005,GSK-1904529A,Motesanib (AMG-706),-830.0
4006,GSK-1904529A,Neratinib (HKI-272),-1714.0
4007,GSK-1904529A,NF-kB Activation Inhibitor,-1402.0
4008,GSK-1904529A,Nilotinib,-963.0
4009,GSK-1904529A,Nutlin 3a,-575.0
4010,GSK-1904529A,NVP-ADW742,1641.0
4011,GSK-1904529A,NVP-TAE684,1844.0
4012,GSK-1904529A,Palbociclib,-722.0
4013,GSK-1904529A,Panobinostat,-313.0
4014,GSK-1904529A,Pazopanib (GW786034),-1049.0
4015,GSK-1904529A,PD173955,-655.0
4016,GSK-1904529A,Pelitinib (EKB-569),-827.0
4017,GSK-1904529A,PHA-665752,-1380.0
4018,GSK-1904529A,PHT-427,-415.0
4019,GSK-1904529A,PI-103,-774.0
4020,GSK-1904529A,PLX-4720,-937.0
4021,GSK-1904529A,Ponatinib (AP24534),-1550.0
4022,GSK-1904529A,PP242,-820.0
4023,GSK-1904529A,PRT062607,-926.0
4024,GSK-1904529A,Quizartinib (AC220),-1429.0
4025,GSK-1904529A,RAF265 (CHIR-265),-1640.0
4026,GSK-1904529A,Rapamycin,-1395.0
4027,GSK-1904529A,Regorafenib (BAY 73-4506),-1385.0
4028,GSK-1904529A,Roscovitine (CYC-202),-1069.0
4029,GSK-1904529A,Ruxolitinib (INCB018424),-1145.0
4030,GSK-1904529A,S31-201,-1023.0
4031,GSK-1904529A,Saracatinib (AZD0530),-1397.0
4032,GSK-1904529A,SB-431542,-1380.0
4033,GSK-1904529A,Selinexor,-483.0
4034,GSK-1904529A,Selumetinib (AZD6244),-565.0
4035,GSK-1904529A,SGX-523,-1733.0
4036,GSK-1904529A,SNS-032 (BMS-387032),-639.0
4037,GSK-1904529A,Sorafenib,-994.0
4038,GSK-1904529A,SR9011,-1053.0
4039,GSK-1904529A,Staurosporine,-195.0
4040,GSK-1904529A,STO609,-1633.0
4041,GSK-1904529A,SU11274,-1210.0
4042,GSK-1904529A,Sunitinib,-1326.0
4043,GSK-1904529A,Tandutinib (MLN518),-1049.0
4044,GSK-1904529A,TG100-115,-681.0
4045,GSK-1904529A,TG101348,-470.0
4046,GSK-1904529A,Tivozanib (AV-951),-894.0
4047,GSK-1904529A,Tofacitinib (CP-690550),-1093.0
4048,GSK-1904529A,Tozasertib (VX-680),-1049.0
4049,GSK-1904529A,Trametinib (GSK1120212),-429.0
4050,GSK-1904529A,Vandetanib (ZD6474),-1129.0
4051,GSK-1904529A,Vargetef,-1418.0
4052,GSK-1904529A,Vatalanib (PTK787),-1807.0
4053,GSK-1904529A,Vemurafenib (PLX-4032),-1346.0
4054,GSK-1904529A,Venetoclax,-1138.0
4055,GSK-1904529A,Vismodegib (GDC-0449),-798.0
4056,GSK-1904529A,Volasertib (BI-6727),-417.0
4057,GSK-1904529A,VX-745,-1150.0
4058,GSK-1904529A,XAV-939,-1504.0
4059,GSK-1904529A,YM-155,-446.0
4060,GSK690693,GW-2580,-613.0
4061,GSK690693,Ibrutinib (PCI-32765),-1091.0
4062,GSK690693,Idelalisib,1168.0
4063,GSK690693,Imatinib,-1061.0
4064,GSK690693,INK-128,694.0
4065,GSK690693,JAK Inhibitor I,-1416.0
4066,GSK690693,JNJ-28312141,-1246.0
4067,GSK690693,JNJ-38877605,-1410.0
4068,GSK690693,JNJ-7706621,-1121.0
4069,GSK690693,JQ1,-356.0
4070,GSK690693,KI20227,-879.0
4071,GSK690693,KU-55933,-1476.0
4072,GSK690693,KW-2449,-1521.0
4073,GSK690693,Lapatinib,-1049.0
4074,GSK690693,Lenalidomide,-1055.0
4075,GSK690693,Lenvatinib,-1512.0
4076,GSK690693,Lestaurtinib (CEP-701),-1068.0
4077,GSK690693,Linifanib (ABT-869),-518.0
4078,GSK690693,Lovastatin,-880.0
4079,GSK690693,LY-333531,1365.0
4080,GSK690693,Masitinib (AB-1010),-1135.0
4081,GSK690693,MGCD-265,-1235.0
4082,GSK690693,Midostaurin,-1654.0
4083,GSK690693,MK-2206,423.0
4084,GSK690693,MLN120B,-1268.0
4085,GSK690693,MLN8054,-1011.0
4086,GSK690693,Motesanib (AMG-706),-476.0
4087,GSK690693,Neratinib (HKI-272),-1786.0
4088,GSK690693,NF-kB Activation Inhibitor,-1621.0
4089,GSK690693,Nilotinib,-342.0
4090,GSK690693,Nutlin 3a,-1157.0
4091,GSK690693,NVP-ADW742,-1271.0
4092,GSK690693,NVP-TAE684,-2065.0
4093,GSK690693,Palbociclib,-1150.0
4094,GSK690693,Panobinostat,-214.0
4095,GSK690693,Pazopanib (GW786034),-1578.0
4096,GSK690693,PD173955,-362.0
4097,GSK690693,Pelitinib (EKB-569),-1546.0
4098,GSK690693,PHA-665752,-1498.0
4099,GSK690693,PHT-427,-807.0
4100,GSK690693,PI-103,545.0
4101,GSK690693,PLX-4720,-540.0
4102,GSK690693,Ponatinib (AP24534),-822.0
4103,GSK690693,PP242,804.0
4104,GSK690693,PRT062607,-1383.0
4105,GSK690693,Quizartinib (AC220),-1025.0
4106,GSK690693,RAF265 (CHIR-265),-1584.0
4107,GSK690693,Rapamycin,840.0
4108,GSK690693,Regorafenib (BAY 73-4506),-1715.0
4109,GSK690693,Roscovitine (CYC-202),-1565.0
4110,GSK690693,Ruxolitinib (INCB018424),-323.0
4111,GSK690693,S31-201,-474.0
4112,GSK690693,Saracatinib (AZD0530),-1527.0
4113,GSK690693,SB-431542,-852.0
4114,GSK690693,Selinexor,-345.0
4115,GSK690693,Selumetinib (AZD6244),-211.0
4116,GSK690693,SGX-523,-1188.0
4117,GSK690693,SNS-032 (BMS-387032),-403.0
4118,GSK690693,Sorafenib,-1210.0
4119,GSK690693,SR9011,-1237.0
4120,GSK690693,Staurosporine,148.0
4121,GSK690693,STO609,-1485.0
4122,GSK690693,SU11274,-1639.0
4123,GSK690693,Sunitinib,-1014.0
4124,GSK690693,Tandutinib (MLN518),-520.0
4125,GSK690693,TG100-115,819.0
4126,GSK690693,TG101348,-322.0
4127,GSK690693,Tivozanib (AV-951),-1121.0
4128,GSK690693,Tofacitinib (CP-690550),-621.0
4129,GSK690693,Tozasertib (VX-680),-1077.0
4130,GSK690693,Trametinib (GSK1120212),-605.0
4131,GSK690693,Vandetanib (ZD6474),-1747.0
4132,GSK690693,Vargetef,-1617.0
4133,GSK690693,Vatalanib (PTK787),-1226.0
4134,GSK690693,Vemurafenib (PLX-4032),-1669.0
4135,GSK690693,Venetoclax,-1344.0
4136,GSK690693,Vismodegib (GDC-0449),-865.0
4137,GSK690693,Volasertib (BI-6727),-801.0
4138,GSK690693,VX-745,-890.0
4139,GSK690693,XAV-939,-637.0
4140,GSK690693,YM-155,-647.0
4141,GW-2580,Ibrutinib (PCI-32765),-1605.0
4142,GW-2580,Idelalisib,-868.0
4143,GW-2580,Imatinib,-950.0
4144,GW-2580,INK-128,-655.0
4145,GW-2580,JAK Inhibitor I,-1338.0
4146,GW-2580,JNJ-28312141,1104.0
4147,GW-2580,JNJ-38877605,-1063.0
4148,GW-2580,JNJ-7706621,-427.0
4149,GW-2580,JQ1,-1271.0
4150,GW-2580,KI20227,1935.0
4151,GW-2580,KU-55933,-596.0
4152,GW-2580,KW-2449,823.0
4153,GW-2580,Lapatinib,-2143.0
4154,GW-2580,Lenalidomide,-528.0
4155,GW-2580,Lenvatinib,-1448.0
4156,GW-2580,Lestaurtinib (CEP-701),-776.0
4157,GW-2580,Linifanib (ABT-869),1333.0
4158,GW-2580,Lovastatin,-1662.0
4159,GW-2580,LY-333531,-972.0
4160,GW-2580,Masitinib (AB-1010),-971.0
4161,GW-2580,MGCD-265,-1103.0
4162,GW-2580,Midostaurin,1321.0
4163,GW-2580,MK-2206,-1164.0
4164,GW-2580,MLN120B,-1778.0
4165,GW-2580,MLN8054,-1409.0
4166,GW-2580,Motesanib (AMG-706),1784.0
4167,GW-2580,Neratinib (HKI-272),-1025.0
4168,GW-2580,NF-kB Activation Inhibitor,-1251.0
4169,GW-2580,Nilotinib,-1781.0
4170,GW-2580,Nutlin 3a,-596.0
4171,GW-2580,NVP-ADW742,-1103.0
4172,GW-2580,NVP-TAE684,-1014.0
4173,GW-2580,Palbociclib,-419.0
4174,GW-2580,Panobinostat,-1451.0
4175,GW-2580,Pazopanib (GW786034),962.0
4176,GW-2580,PD173955,2146.0
4177,GW-2580,Pelitinib (EKB-569),-545.0
4178,GW-2580,PHA-665752,-740.0
4179,GW-2580,PHT-427,-705.0
4180,GW-2580,PI-103,-977.0
4181,GW-2580,PLX-4720,-936.0
4182,GW-2580,Ponatinib (AP24534),1008.0
4183,GW-2580,PP242,-942.0
4184,GW-2580,PRT062607,-1203.0
4185,GW-2580,Quizartinib (AC220),1019.0
4186,GW-2580,RAF265 (CHIR-265),-725.0
4187,GW-2580,Rapamycin,-2493.0
4188,GW-2580,Regorafenib (BAY 73-4506),986.0
4189,GW-2580,Roscovitine (CYC-202),-435.0
4190,GW-2580,Ruxolitinib (INCB018424),-2536.0
4191,GW-2580,S31-201,-1667.0
4192,GW-2580,Saracatinib (AZD0530),-1461.0
4193,GW-2580,SB-431542,-2026.0
4194,GW-2580,Selinexor,-496.0
4195,GW-2580,Selumetinib (AZD6244),-1652.0
4196,GW-2580,SGX-523,-1133.0
4197,GW-2580,SNS-032 (BMS-387032),-2026.0
4198,GW-2580,Sorafenib,795.0
4199,GW-2580,SR9011,-314.0
4200,GW-2580,Staurosporine,-1451.0
4201,GW-2580,STO609,-1614.0
4202,GW-2580,SU11274,-778.0
4203,GW-2580,Sunitinib,1014.0
4204,GW-2580,Tandutinib (MLN518),889.0
4205,GW-2580,TG100-115,-1117.0
4206,GW-2580,TG101348,-596.0
4207,GW-2580,Tivozanib (AV-951),-1357.0
4208,GW-2580,Tofacitinib (CP-690550),-2224.0
4209,GW-2580,Tozasertib (VX-680),1035.0
4210,GW-2580,Trametinib (GSK1120212),-1890.0
4211,GW-2580,Vandetanib (ZD6474),-752.0
4212,GW-2580,Vargetef,-1530.0
4213,GW-2580,Vatalanib (PTK787),1247.0
4214,GW-2580,Vemurafenib (PLX-4032),-538.0
4215,GW-2580,Venetoclax,-620.0
4216,GW-2580,Vismodegib (GDC-0449),-1043.0
4217,GW-2580,Volasertib (BI-6727),-1078.0
4218,GW-2580,VX-745,-1227.0
4219,GW-2580,XAV-939,-2399.0
4220,GW-2580,YM-155,-903.0
4221,Ibrutinib (PCI-32765),Idelalisib,-1692.0
4222,Ibrutinib (PCI-32765),Imatinib,-550.0
4223,Ibrutinib (PCI-32765),INK-128,-1297.0
4224,Ibrutinib (PCI-32765),JAK Inhibitor I,-1619.0
4225,Ibrutinib (PCI-32765),JNJ-28312141,-839.0
4226,Ibrutinib (PCI-32765),JNJ-38877605,-477.0
4227,Ibrutinib (PCI-32765),JNJ-7706621,-688.0
4228,Ibrutinib (PCI-32765),JQ1,-1173.0
4229,Ibrutinib (PCI-32765),KI20227,-1962.0
4230,Ibrutinib (PCI-32765),KU-55933,-850.0
4231,Ibrutinib (PCI-32765),KW-2449,987.0
4232,Ibrutinib (PCI-32765),Lapatinib,-1475.0
4233,Ibrutinib (PCI-32765),Lenalidomide,-610.0
4234,Ibrutinib (PCI-32765),Lenvatinib,-1789.0
4235,Ibrutinib (PCI-32765),Lestaurtinib (CEP-701),1164.0
4236,Ibrutinib (PCI-32765),Linifanib (ABT-869),-1543.0
4237,Ibrutinib (PCI-32765),Lovastatin,-971.0
4238,Ibrutinib (PCI-32765),LY-333531,-965.0
4239,Ibrutinib (PCI-32765),Masitinib (AB-1010),-1086.0
4240,Ibrutinib (PCI-32765),MGCD-265,-1485.0
4241,Ibrutinib (PCI-32765),Midostaurin,-1394.0
4242,Ibrutinib (PCI-32765),MK-2206,-1091.0
4243,Ibrutinib (PCI-32765),MLN120B,-2143.0
4244,Ibrutinib (PCI-32765),MLN8054,-792.0
4245,Ibrutinib (PCI-32765),Motesanib (AMG-706),-1454.0
4246,Ibrutinib (PCI-32765),Neratinib (HKI-272),656.0
4247,Ibrutinib (PCI-32765),NF-kB Activation Inhibitor,-1054.0
4248,Ibrutinib (PCI-32765),Nilotinib,-1310.0
4249,Ibrutinib (PCI-32765),Nutlin 3a,-700.0
4250,Ibrutinib (PCI-32765),NVP-ADW742,-1161.0
4251,Ibrutinib (PCI-32765),NVP-TAE684,921.0
4252,Ibrutinib (PCI-32765),Palbociclib,-762.0
4253,Ibrutinib (PCI-32765),Panobinostat,-976.0
4254,Ibrutinib (PCI-32765),Pazopanib (GW786034),-1196.0
4255,Ibrutinib (PCI-32765),PD173955,1657.0
4256,Ibrutinib (PCI-32765),Pelitinib (EKB-569),-708.0
4257,Ibrutinib (PCI-32765),PHA-665752,-964.0
4258,Ibrutinib (PCI-32765),PHT-427,-909.0
4259,Ibrutinib (PCI-32765),PI-103,-1569.0
4260,Ibrutinib (PCI-32765),PLX-4720,-1331.0
4261,Ibrutinib (PCI-32765),Ponatinib (AP24534),1210.0
4262,Ibrutinib (PCI-32765),PP242,-823.0
4263,Ibrutinib (PCI-32765),PRT062607,-1607.0
4264,Ibrutinib (PCI-32765),Quizartinib (AC220),-1399.0
4265,Ibrutinib (PCI-32765),RAF265 (CHIR-265),-773.0
4266,Ibrutinib (PCI-32765),Rapamycin,-2248.0
4267,Ibrutinib (PCI-32765),Regorafenib (BAY 73-4506),-1453.0
4268,Ibrutinib (PCI-32765),Roscovitine (CYC-202),-647.0
4269,Ibrutinib (PCI-32765),Ruxolitinib (INCB018424),-1322.0
4270,Ibrutinib (PCI-32765),S31-201,-993.0
4271,Ibrutinib (PCI-32765),Saracatinib (AZD0530),-1314.0
4272,Ibrutinib (PCI-32765),SB-431542,-1909.0
4273,Ibrutinib (PCI-32765),Selinexor,-359.0
4274,Ibrutinib (PCI-32765),Selumetinib (AZD6244),-1347.0
4275,Ibrutinib (PCI-32765),SGX-523,-1236.0
4276,Ibrutinib (PCI-32765),SNS-032 (BMS-387032),-1844.0
4277,Ibrutinib (PCI-32765),Sorafenib,-1051.0
4278,Ibrutinib (PCI-32765),SR9011,-761.0
4279,Ibrutinib (PCI-32765),Staurosporine,-933.0
4280,Ibrutinib (PCI-32765),STO609,-1651.0
4281,Ibrutinib (PCI-32765),SU11274,-731.0
4282,Ibrutinib (PCI-32765),Sunitinib,-958.0
4283,Ibrutinib (PCI-32765),Tandutinib (MLN518),-819.0
4284,Ibrutinib (PCI-32765),TG100-115,-1664.0
4285,Ibrutinib (PCI-32765),TG101348,686.0
4286,Ibrutinib (PCI-32765),Tivozanib (AV-951),-1492.0
4287,Ibrutinib (PCI-32765),Tofacitinib (CP-690550),-1591.0
4288,Ibrutinib (PCI-32765),Tozasertib (VX-680),-1683.0
4289,Ibrutinib (PCI-32765),Trametinib (GSK1120212),-1547.0
4290,Ibrutinib (PCI-32765),Vandetanib (ZD6474),1032.0
4291,Ibrutinib (PCI-32765),Vargetef,-927.0
4292,Ibrutinib (PCI-32765),Vatalanib (PTK787),-1175.0
4293,Ibrutinib (PCI-32765),Vemurafenib (PLX-4032),-672.0
4294,Ibrutinib (PCI-32765),Venetoclax,-1137.0
4295,Ibrutinib (PCI-32765),Vismodegib (GDC-0449),-1740.0
4296,Ibrutinib (PCI-32765),Volasertib (BI-6727),-1027.0
4297,Ibrutinib (PCI-32765),VX-745,-1945.0
4298,Ibrutinib (PCI-32765),XAV-939,-1494.0
4299,Ibrutinib (PCI-32765),YM-155,-1040.0
4300,Idelalisib,Imatinib,-706.0
4301,Idelalisib,INK-128,1786.0
4302,Idelalisib,JAK Inhibitor I,-1551.0
4303,Idelalisib,JNJ-28312141,-1367.0
4304,Idelalisib,JNJ-38877605,-687.0
4305,Idelalisib,JNJ-7706621,-1142.0
4306,Idelalisib,JQ1,-809.0
4307,Idelalisib,KI20227,-1220.0
4308,Idelalisib,KU-55933,-897.0
4309,Idelalisib,KW-2449,-962.0
4310,Idelalisib,Lapatinib,-1047.0
4311,Idelalisib,Lenalidomide,-652.0
4312,Idelalisib,Lenvatinib,-1307.0
4313,Idelalisib,Lestaurtinib (CEP-701),-1163.0
4314,Idelalisib,Linifanib (ABT-869),-788.0
4315,Idelalisib,Lovastatin,-1233.0
4316,Idelalisib,LY-333531,-866.0
4317,Idelalisib,Masitinib (AB-1010),-1710.0
4318,Idelalisib,MGCD-265,-1440.0
4319,Idelalisib,Midostaurin,-1505.0
4320,Idelalisib,MK-2206,1158.0
4321,Idelalisib,MLN120B,-1511.0
4322,Idelalisib,MLN8054,-455.0
4323,Idelalisib,Motesanib (AMG-706),-1068.0
4324,Idelalisib,Neratinib (HKI-272),-1179.0
4325,Idelalisib,NF-kB Activation Inhibitor,-1093.0
4326,Idelalisib,Nilotinib,-939.0
4327,Idelalisib,Nutlin 3a,-400.0
4328,Idelalisib,NVP-ADW742,-824.0
4329,Idelalisib,NVP-TAE684,-1017.0
4330,Idelalisib,Palbociclib,-469.0
4331,Idelalisib,Panobinostat,-454.0
4332,Idelalisib,Pazopanib (GW786034),-1402.0
4333,Idelalisib,PD173955,-812.0
4334,Idelalisib,Pelitinib (EKB-569),-801.0
4335,Idelalisib,PHA-665752,-1170.0
4336,Idelalisib,PHT-427,-1130.0
4337,Idelalisib,PI-103,1373.0
4338,Idelalisib,PLX-4720,-1143.0
4339,Idelalisib,Ponatinib (AP24534),-1007.0
4340,Idelalisib,PP242,1363.0
4341,Idelalisib,PRT062607,-1319.0
4342,Idelalisib,Quizartinib (AC220),-1071.0
4343,Idelalisib,RAF265 (CHIR-265),-958.0
4344,Idelalisib,Rapamycin,1246.0
4345,Idelalisib,Regorafenib (BAY 73-4506),-1442.0
4346,Idelalisib,Roscovitine (CYC-202),-885.0
4347,Idelalisib,Ruxolitinib (INCB018424),-733.0
4348,Idelalisib,S31-201,-1067.0
4349,Idelalisib,Saracatinib (AZD0530),-1945.0
4350,Idelalisib,SB-431542,-1086.0
4351,Idelalisib,Selinexor,-489.0
4352,Idelalisib,Selumetinib (AZD6244),-999.0
4353,Idelalisib,SGX-523,-994.0
4354,Idelalisib,SNS-032 (BMS-387032),-1119.0
4355,Idelalisib,Sorafenib,-911.0
4356,Idelalisib,SR9011,-608.0
4357,Idelalisib,Staurosporine,-599.0
4358,Idelalisib,STO609,-1164.0
4359,Idelalisib,SU11274,-896.0
4360,Idelalisib,Sunitinib,-1283.0
4361,Idelalisib,Tandutinib (MLN518),-966.0
4362,Idelalisib,TG100-115,1246.0
4363,Idelalisib,TG101348,-657.0
4364,Idelalisib,Tivozanib (AV-951),-1665.0
4365,Idelalisib,Tofacitinib (CP-690550),-1161.0
4366,Idelalisib,Tozasertib (VX-680),-1101.0
4367,Idelalisib,Trametinib (GSK1120212),-967.0
4368,Idelalisib,Vandetanib (ZD6474),-1005.0
4369,Idelalisib,Vargetef,-1489.0
4370,Idelalisib,Vatalanib (PTK787),-1312.0
4371,Idelalisib,Vemurafenib (PLX-4032),-620.0
4372,Idelalisib,Venetoclax,-707.0
4373,Idelalisib,Vismodegib (GDC-0449),-1122.0
4374,Idelalisib,Volasertib (BI-6727),-863.0
4375,Idelalisib,VX-745,-1569.0
4376,Idelalisib,XAV-939,-1042.0
4377,Idelalisib,YM-155,-388.0
4378,Imatinib,INK-128,-698.0
4379,Imatinib,JAK Inhibitor I,-653.0
4380,Imatinib,JNJ-28312141,-1202.0
4381,Imatinib,JNJ-38877605,-1264.0
4382,Imatinib,JNJ-7706621,-925.0
4383,Imatinib,JQ1,-403.0
4384,Imatinib,KI20227,-781.0
4385,Imatinib,KU-55933,-1086.0
4386,Imatinib,KW-2449,-1443.0
4387,Imatinib,Lapatinib,-1331.0
4388,Imatinib,Lenalidomide,-843.0
4389,Imatinib,Lenvatinib,-605.0
4390,Imatinib,Lestaurtinib (CEP-701),-688.0
4391,Imatinib,Linifanib (ABT-869),-489.0
4392,Imatinib,Lovastatin,-504.0
4393,Imatinib,LY-333531,-1570.0
4394,Imatinib,Masitinib (AB-1010),-1281.0
4395,Imatinib,MGCD-265,-992.0
4396,Imatinib,Midostaurin,-1113.0
4397,Imatinib,MK-2206,-335.0
4398,Imatinib,MLN120B,-946.0
4399,Imatinib,MLN8054,-434.0
4400,Imatinib,Motesanib (AMG-706),-564.0
4401,Imatinib,Neratinib (HKI-272),-1898.0
4402,Imatinib,NF-kB Activation Inhibitor,-1325.0
4403,Imatinib,Nilotinib,331.0
4404,Imatinib,Nutlin 3a,-1708.0
4405,Imatinib,NVP-ADW742,-956.0
4406,Imatinib,NVP-TAE684,-1580.0
4407,Imatinib,Palbociclib,-616.0
4408,Imatinib,Panobinostat,-410.0
4409,Imatinib,Pazopanib (GW786034),-1623.0
4410,Imatinib,PD173955,338.0
4411,Imatinib,Pelitinib (EKB-569),-606.0
4412,Imatinib,PHA-665752,-1263.0
4413,Imatinib,PHT-427,-394.0
4414,Imatinib,PI-103,-810.0
4415,Imatinib,PLX-4720,-457.0
4416,Imatinib,Ponatinib (AP24534),1239.0
4417,Imatinib,PP242,-1164.0
4418,Imatinib,PRT062607,-565.0
4419,Imatinib,Quizartinib (AC220),-854.0
4420,Imatinib,RAF265 (CHIR-265),-1556.0
4421,Imatinib,Rapamycin,-803.0
4422,Imatinib,Regorafenib (BAY 73-4506),-1110.0
4423,Imatinib,Roscovitine (CYC-202),-1046.0
4424,Imatinib,Ruxolitinib (INCB018424),-522.0
4425,Imatinib,S31-201,-906.0
4426,Imatinib,Saracatinib (AZD0530),-1308.0
4427,Imatinib,SB-431542,-981.0
4428,Imatinib,Selinexor,-452.0
4429,Imatinib,Selumetinib (AZD6244),-176.0
4430,Imatinib,SGX-523,-1262.0
4431,Imatinib,SNS-032 (BMS-387032),-136.0
4432,Imatinib,Sorafenib,-709.0
4433,Imatinib,SR9011,-511.0
4434,Imatinib,Staurosporine,-58.0
4435,Imatinib,STO609,-860.0
4436,Imatinib,SU11274,-774.0
4437,Imatinib,Sunitinib,-892.0
4438,Imatinib,Tandutinib (MLN518),-749.0
4439,Imatinib,TG100-115,-431.0
4440,Imatinib,TG101348,-222.0
4441,Imatinib,Tivozanib (AV-951),-668.0
4442,Imatinib,Tofacitinib (CP-690550),-501.0
4443,Imatinib,Tozasertib (VX-680),-461.0
4444,Imatinib,Trametinib (GSK1120212),-458.0
4445,Imatinib,Vandetanib (ZD6474),-1166.0
4446,Imatinib,Vargetef,-1473.0
4447,Imatinib,Vatalanib (PTK787),-1365.0
4448,Imatinib,Vemurafenib (PLX-4032),-1438.0
4449,Imatinib,Venetoclax,-866.0
4450,Imatinib,Vismodegib (GDC-0449),-434.0
4451,Imatinib,Volasertib (BI-6727),-482.0
4452,Imatinib,VX-745,-895.0
4453,Imatinib,XAV-939,-858.0
4454,Imatinib,YM-155,-456.0
4455,INK-128,JAK Inhibitor I,-1288.0
4456,INK-128,JNJ-28312141,-1003.0
4457,INK-128,JNJ-38877605,-442.0
